Date;trades;Offered USDS;Requested XCH;average price for 1 XCH (in USDS)
14.01.22;5;371.01;4.000111111111;92.7499236132355
15.01.22;17;2809.5;29.781;94.3386723078473
16.01.22;14;1168.96;12.5912;92.8394434208018
17.01.22;25;3219.275;34.66574;92.866184307619
18.01.22;16;2801.89;31.658;88.5049592520058
19.01.22;22;7115.8;82.1918;86.5755464657058
20.01.22;6;88.73;1.044;84.9904214559387
21.01.22;23;4873.999;59.072420694206;82.5088754231136
22.01.22;11;3207.456;43.812709852;73.2083454968852
23.01.22;5;1970;24.85;79.2756539235412
24.01.22;18;3639.27;46.422;78.3953728835466
25.01.22;27;5818.119;74.1705;78.442493983457
26.01.22;19;3251.22;40.910909;79.47073481061
27.01.22;5;1745.2;22.083333;79.0279257211763
28.01.22;14;962.43;12.03035454545;80.0001360195989
29.01.22;16;1285.799;15.76004607692;81.5859924345656
30.01.22;8;1041.15;12.23;85.130825838103
31.01.22;4;708.342;8.583625933738;82.5224684146425
1.02.22;6;1053.88;12.466;84.5403497513236
2.02.22;35;8007.53;96.660009494457;82.8422223614534
3.02.22;14;3771.028;47.12352;80.0243275544781
4.02.22;7;777.6;9.287;83.7299450845268
5.02.22;26;3447.22;42.7852111;80.5703632487161
6.02.22;11;2239;27.846;80.4065215829922
7.02.22;1;0.801;0.01;80.1
8.02.22;9;2502.3;30.8115;81.2131833893189
9.02.22;4;297.768;3.569;83.4317736060521
10.02.22;11;2210.79;27.12568613;81.501717206517
11.02.22;5;2012.5;24.564;81.9288389513109
12.02.22;10;3809.82;47.14;80.8192617734408
13.02.22;4;232;2.88921972534;80.2984964989807
14.02.22;9;602.45;7.5793;79.4862322378056
15.02.22;2;100.5;1.25;80.4
16.02.22;10;3058.43;38.1135;80.2453198997731
17.02.22;29;4880.23;62.5121;78.0685659256368
18.02.22;15;2299;30.076900763358;76.4373968610761
19.02.22;6;305.7;4.053263403262;75.4207090893668
20.02.22;14;10732.544;143.383666;74.8519290893288
21.02.22;1;76;1;76
22.02.22;7;512;7;73.1428571428571
23.02.22;13;5046.51;61.925386281588;81.4933955688615
24.02.22;15;5262.9;66.445219832916;79.206600764271
25.02.22;7;4687.6;59.38;78.9424048501179
26.02.22;2;217;2.791992882562;77.7222611688306
27.02.22;8;378;5.03762654945;75.0353358450657
28.02.22;11;3934.17;51.3;76.6894736842105
1.03.22;4;731.35;9.5;76.9842105263158
2.03.22;9;1428.413;18.584;76.8625161429186
3.03.22;9;1818.65;23.77;76.5103071098023
4.03.22;33;5574.89;74.3078;75.024290855065
5.03.22;2;79.2;1.0674;74.1989881956155
6.03.22;3;199.1;2.672483221;74.5000000132835
7.03.22;23;4098.29;56.4205;72.6383140879645
8.03.22;29;5527.57;75.52;73.1934586864407
9.03.22;16;2648.92;36.488333333;72.5963549999781
10.03.22;41;4589.502;64.718916542557;70.9143824585212
11.03.22;26;6823.44;97.360763955591;70.0840844173364
12.03.22;29;6442.534;93.116376174345;69.1879802961557
13.03.22;3;174.3;2.5;69.72
14.03.22;8;517.7;7.5;69.0266666666667
15.03.22;5;932.685;13.0536;71.4504044861188
16.03.22;10;4046.6;60.065;67.3703487888121
17.03.22;5;885.06;13.0153;68.0015059199558
18.03.22;6;1741.19;26.166;66.5439883818696
19.03.22;6;1071.547;16.026667;66.8602523531561
20.03.22;4;672.3;10.1;66.5643564356436
21.03.22;29;5177.62;76.850337313;67.3727686960218
22.03.22;5;2802.04;42.4372303;66.027871757691
23.03.22;10;1906.38;28.31;67.3394560226069
24.03.22;4;1079.55;16.3;66.2300613496932
25.03.22;7;393.19;5.75;68.3808695652174
26.03.22;5;1706.4;24.43;69.8485468686042
27.03.22;1;1;0.015;66.6666666666667
28.03.22;7;789.7;10.76525;73.356401384083
29.03.22;4;1311.1;18;72.8388888888889
30.03.22;2;148.01;2.07725;71.2528583463714
31.03.22;8;1627.9;23.07894;70.5361684722089
1.04.22;8;517.57;7.5052;68.9615200127911
3.04.22;1;14.11;0.2087;67.6090081456636
4.04.22;12;1039.15;14.613175;71.110487625037
5.04.22;8;1206.92;17.05;70.7870967741936
6.04.22;5;1506.99;22.3403;67.456121896304
7.04.22;1;24.5;0.355;69.0140845070423
8.04.22;10;696.3;10.1922;68.3169482545476
9.04.22;5;294.11;4.3292;67.9363392774647
10.04.22;4;200.5;2.933;68.3600409137402
11.04.22;21;2156.77;33.40360562798;64.5669819007028
12.04.22;10;2353.727;36.860338086263;63.8552743192874
13.04.22;7;352.66;5.609073211239;62.8731319272797
14.04.22;6;1888.91;30.00268;62.9580424148776
15.04.22;13;1046.61;16.808;62.2685625892432
16.04.22;2;66.85;1.0483;63.7699131927883
17.04.22;2;776.52;12;64.71
18.04.22;7;935.645;14.85;63.0063973063973
19.04.22;6;264.6;4.177615;63.3375741900582
20.04.22;17;1883.44;29.353390225163;64.1643089793912
21.04.22;12;1208.03;18.14671631021;66.5701705669096
22.04.22;3;460;7.062;65.137354856981
23.04.22;6;1086.5;16.5715;65.5643725673596
24.04.22;3;1138;17;66.9411764705882
25.04.22;9;2962.93;45.779250331841;64.7221170841058
26.04.22;12;4477.848;70.457555373209;63.5538371475016
27.04.22;12;1411.725;22.517980621412;62.6932327429757
28.04.22;16;4351.24;70.21;61.9746474861131
29.04.22;14;3088.648;49.962620600161;61.8191752734052
30.04.22;50;3587.976;60.028898354823;59.7708120310978
1.05.22;12;722.282;13.50135731511;53.4969916833221
2.05.22;11;1070.25;19.23136364;55.6512798590085
3.05.22;1;10;0.18;55.5555555555556
4.05.22;9;3597.6;66;54.5090909090909
5.05.22;19;6947.98;129.24;53.7602909316001
6.05.22;14;2206.315;42.821499999999;51.5235337388941
7.05.22;11;580.003;11.2032317;51.7710438854889
8.05.22;21;2876.355;57.2593;50.2338484752695
9.05.22;27;3462.65;71.154204738858;48.6640250243569
10.05.22;3;553.1;11.9;46.4789915966387
11.05.22;22;3090.8;67.262161232753;45.9515416001077
12.05.22;44;5923.57;145.113472038057;40.8202623561133
13.05.22;18;2229.12;51.48860111576;43.2934659651822
14.05.22;19;2157.75;53.270414906958;40.5055977838491
15.05.22;6;1420.72;33.035932534832;43.0052942656315
16.05.22;17;3791.74;93.189183922046;40.6886275897838
17.05.22;10;1408.315;34.843389610389;40.418427017218
18.05.22;15;2007.885;50.735505685236;39.5755393167254
19.05.22;37;1916.94;49.980886581379;38.3534613152336
20.05.22;10;2076.66;52.4996;39.5557299484187
21.05.22;6;1811.32;48.09;37.665211062591
22.05.22;7;303.21;8;37.90125
23.05.22;6;528.05;13.93;37.9073941134243
24.05.22;5;1150.74;30;38.358
25.05.22;38;3823.85;100.08666461968;38.2053894445406
26.05.22;17;3297.97;92.718085714285;35.5698672442704
27.05.22;12;2018.81;55.48;36.3880677721701
28.05.22;2;147.3;4;36.825
29.05.22;30;3552.04;94.45;37.6076230809952
30.05.22;1;925;25;37
31.05.22;28;2819.65;79.84166927107;35.3155191486168
1.06.22;20;2520.71;67.247364691697;37.4841454614092
2.06.22;17;1287.995;37.425186533285;34.4151925296215
3.06.22;28;3909.95;116.861422222222;33.4580045805441
4.06.22;15;1405.11;42.022;33.4374851268383
5.06.22;11;601.705;19;31.6686842105263
6.06.22;3;191.251;6;31.8751666666667
7.06.22;10;1500.71;47.32;31.7140743871513
8.06.22;6;1481.93;46.382;31.9505411582079
9.06.22;11;584.85;19.01;30.7653866386113
10.06.22;26;3465.87;115.1368;30.1021914800481
11.06.22;23;1283.338;44.586333333333;28.7832145874298
12.06.22;11;989.9;35;28.2828571428571
13.06.22;22;833.082;29.712351859;28.0382382368582
14.06.22;29;3907;137.098;28.4978628426381
15.06.22;17;4480.82;155.154333333333;28.8797605824739
16.06.22;7;899.45;31;29.0145161290323
17.06.22;18;2074.815;66.861;31.0317673980347
18.06.22;23;5367.265;168.1446;31.9205314949157
19.06.22;5;3311.56;77.775;42.5787206685953
20.06.22;22;1316.85;28.05;46.9465240641711
21.06.22;9;1086.3;23;47.2304347826087
22.06.22;22;2757.33;64.743139534883;42.5887595165875
23.06.22;5;1856.7;46.15;40.2318526543879
24.06.22;1;40.1;1;40.1
25.06.22;3;247.65;6.15;40.2682926829268
26.06.22;8;372.59;9;41.3988888888889
27.06.22;9;686.31;17;40.3711764705882
28.06.22;3;123.8;3;41.2666666666667
30.06.22;3;325.5;7.5;43.4
1.07.22;3;260.02;6;43.3366666666667
2.07.22;40;5746.12;126.15782608;45.5470752671042
3.07.22;23;1804.4;40.23201;44.8498596018444
4.07.22;25;1703.59;38.995;43.6873958199769
5.07.22;11;3143.912;69.9999;44.9130927329896
6.07.22;3;78.901;1.64985;47.8231354365548
7.07.22;12;1101.02;25.03257336343;43.9834923887001
8.07.22;13;2055.55;45.4022;45.2742378122646
9.07.22;12;2765.44;61.9;44.675928917609
10.07.22;22;2656.47;61.5345;43.1704165955683
11.07.22;22;4490.2;108.976;41.2035677580385
12.07.22;9;734.787;19.002742105263;38.6674194666092
13.07.22;1;40;1;40
14.07.22;19;793.5;19.75;40.1772151898734
15.07.22;7;614.55;14.82;41.4676113360324
16.07.22;10;652.43;17.865;36.5200111950742
17.07.22;3;1173.05;28.048;41.8229463776383
18.07.22;5;668.34;14.9;44.855033557047
19.07.22;23;1597.07;36.42;43.8514552443712
20.07.22;13;2128.33;48.02655;44.315696213865
21.07.22;13;1712.09;39.6839;43.1431890514793
22.07.22;4;591.3;13.93564;42.4307746181733
23.07.22;3;606.9;14.11564;42.9948624362764
24.07.22;26;1941.22;45.85;42.3384950926936
25.07.22;6;658.79;15.65;42.0952076677316
27.07.22;6;1442.41;35.152;41.0335116067365
28.07.22;5;640.55;15.5;41.3258064516129
29.07.22;3;105.02;2.5;42.008
31.07.22;6;303.48;7.025;43.2
1.08.22;4;1045.16;24;43.5483333333333
2.08.22;8;927.63;21.8;42.5518348623853
3.08.22;1;344;8;43
4.08.22;1;10;0.24;41.6666666666667
5.08.22;3;127.64;3;42.5466666666667
6.08.22;7;1037.36;23.882496513257;43.4359950361207
7.08.22;1;41.75;1;41.75
8.08.22;2;906.06;21;43.1457142857143
9.08.22;4;665.09;15.354;43.3170509313534
10.08.22;6;587.13;14.0285;41.8526570909221
11.08.22;6;716.98;16.10818;44.5103047023314
12.08.22;9;884.7;20.485;43.1876983158409
13.08.22;11;738.3;17.1000588;43.1752901340901
14.08.22;12;3111.875;71.793443;43.3448358229595
15.08.22;7;1974.25;45.75;43.1530054644809
16.08.22;22;7761.56;183.7642;42.2365183207611
17.08.22;9;1524.69;35.4722;42.9826737557862
18.08.22;16;2596.73;61.261829644549;42.3874052581623
19.08.22;11;1414.95;34.5654;40.9354441146349
20.08.22;5;284.28;7.136;39.8374439461883
21.08.22;5;659.87;16.5;39.9921212121212
22.08.22;13;603.514;15.5169;38.8939801120069
23.08.22;7;274.09;7;39.1557142857143
24.08.22;11;405.27;10.4446;38.8018689083354
25.08.22;4;194.45;5;38.89
26.08.22;13;1887.575;48.213157894736;39.1506195076695
27.08.22;17;3507.83;91.762;38.2274797846603
28.08.22;2;57.097;1.5;38.0646666666667
29.08.22;8;593.6;16.03504;37.0189285464832
30.08.22;23;3434.073;93.475577463999;36.7376494820007
31.08.22;3;34;0.861;39.4889663182346
1.09.22;3;439;12;36.5833333333333
2.09.22;15;1312.41;36;36.4558333333333
3.09.22;1;256.92;7.1367;35.9998318550591
4.09.22;10;689.42;19;36.2852631578947
5.09.22;9;1343.65;37.27;36.0517842768983
6.09.22;16;1829.68;51.881;35.2668607004491
7.09.22;12;2319.73;66.31;34.9831096365556
8.09.22;4;799.8;22.5;35.5466666666667
9.09.22;9;1125.627;31.178;36.1032458785041
10.09.22;35;463.995;12.631;36.734621170137
11.09.22;8;401.434;10.61;37.835438265787
12.09.22;5;150.61;4.1;36.7341463414634
13.09.22;32;998.242;27.2;36.7000735294118
14.09.22;10;1092.044;29.9812;36.4242925566688
15.09.22;7;378.3;11.1;34.0810810810811
16.09.22;27;516.986;14.568;35.4877814387699
17.09.22;9;163.278;4.6;35.4952173913043
18.09.22;17;825.079;23.61301506276;34.9417047254261
19.09.22;93;2012.798;59.6848000000001;33.7237956732702
20.09.22;12;3463.441;105.8026;32.7349327899314
21.09.22;18;1169.642;33.49634187375;34.9184995904467
22.09.22;2;6.942;0.2;34.71
23.09.22;4;92.392;2.5;36.9568
24.09.22;4;530.283;15.3;34.6590196078432
25.09.22;9;158.569;4.7;33.738085106383
26.09.22;8;554.143;16.45;33.6865045592705
27.09.22;10;1214.257;36.06;33.6732390460344
28.09.22;9;1187.791;35.591552238887;33.3728349926315
29.09.22;4;2660.706;79.772;33.3538835681693
30.09.22;4;131.64;3.91;33.6675191815857
1.10.22;3;10.323;0.3;34.41
2.10.22;8;311.164;9.324;33.3723723723724
3.10.22;16;1492.14;45.17;33.0338720389639
4.10.22;11;644.569;19.8;32.5539898989899
5.10.22;19;7010.403;200.29;35.0012631684058
6.10.22;11;3087.04;88.541;34.8656554590529
7.10.22;11;1199.414;34.967;34.3013126662282
8.10.22;8;74.568;2.21;33.7411764705882
9.10.22;14;544.597;16.181772149;33.6549665256321
10.10.22;12;1014.187;30.73945;32.9930106101443
11.10.22;8;26.34;0.8;32.925
12.10.22;25;173.185;5.4;32.0712962962963
13.10.22;31;1633.332;50.825;32.136389572061
14.10.22;28;5126.965;159.77375;32.0889069700123
15.10.22;27;4636.635;146.45;31.660191191533
16.10.22;4;102.526;3.2;32.039375
17.10.22;18;772.168;24.9;31.0107630522088
18.10.22;25;603.808;19.046;31.7026147222513
19.10.22;12;281.667;8.89;31.6835770528684
20.10.22;28;808.528;26.527049796;30.4793788309591
21.10.22;24;624.764;20.5046956381;30.469313518564
22.10.22;19;317.278;10.5;30.2169523809524
23.10.22;3;316.241;10.2;31.0040196078431
24.10.22;1;299;9.5;31.4736842105263
25.10.22;11;268.394;8.822;30.4232600317388
26.10.22;6;168.48;5.3;31.788679245283
27.10.22;15;766.475;23.947019654228;32.0071144997233
28.10.22;6;103.254;3.31944794952;31.1057746860983
29.10.22;3;14.903;0.459167184586;32.4565877098491
30.10.22;51;1205.632;33.095;36.429430427557
31.10.22;52;704.224000000001;21.7;32.4527188940092
1.11.22;11;1163.052;35.5;32.7620281690141
2.11.22;9;4156.068;129.4037;32.1170723866474
3.11.22;1;3.216;0.1;32.16
4.11.22;8;19.533;0.600048;32.5523958083353
5.11.22;3;39.126;1.124;34.8096085409253
6.11.22;10;125.788;3.8;33.1021052631579
7.11.22;23;721.406;22.2;32.4957657657658
8.11.22;56;6421.701;211.1984;30.4060115985727
9.11.22;75;1536.515;50.2052580645101;30.604662922471
10.11.22;17;134.997;4.5;29.9993333333333
11.11.22;4;40.422;1.3;31.0938461538462
12.11.22;15;565.976;18.8;30.1051063829787
13.11.22;22;408.644;13.36568324749;30.5741197388275
14.11.22;27;282.577;9.19782672374999;30.7221486647872
15.11.22;10;332.797;10.491;31.7221427890573
16.11.22;5;3165.468;101.3;31.248450148075
17.11.22;22;7633.62;242.48444114004;31.4808651809187
18.11.22;27;7366.178;237.82542757004;30.9730463864326
19.11.22;10;4140.056;133.47868721373;31.0166071184894
20.11.22;33;3379.305;109.0375284865;30.9921276362972
21.11.22;19;2339.788;77.094577805099;30.3495792650316
22.11.22;28;4156.229;137.21524397996;30.2898488494982
23.11.22;4;53.927;1.72221;31.3126738318788
24.11.22;8;692.798;22.5;30.7910222222222
25.11.22;10;1072.786;34.625;30.9829891696751
26.11.22;12;214.784;6.9989998;30.6878134215692
27.11.22;2;33.888;1.1;30.8072727272727
28.11.22;18;2294.926;74.3488538687;30.8669990266809
29.11.22;10;7389.514;238.4;30.996283557047
30.11.22;4;549.6;17.61023892572;31.2091166007578
1.12.22;1;704;22;32
2.12.22;17;75.069;2.34574638794;32.0021807924106
3.12.22;11;423.619;13.6;31.1484558823529
4.12.22;3;448.112;14.21;31.5349753694581
5.12.22;4;547.42;17.52922;31.2289993507983
6.12.22;2;95.02;3;31.6733333333333
7.12.22;7;771.5;24.51005403033;31.4768787961588
8.12.22;6;107.646;3.44120860571;31.2814514706789
9.12.22;1;8.6;0.27537624029;31.2300000571701
11.12.22;3;29.8;0.93066985029;32.0199477727942
12.12.22;18;3055.025;95.17753873237;32.0981719078745
13.12.22;9;359.7;11.519085173;31.226438089295
14.12.22;8;1106.201;34.50347820124;32.0605648377863
15.12.22;5;711.488;22.36042010959;31.8190801654417
16.12.22;23;5470.41;176.15023912617;31.0553651651971
17.12.22;16;1278.41;42.5127;30.0712492972688
18.12.22;11;649.685;20.96305127787;30.9919100701648
19.12.22;18;776.056;25.8;30.0796899224806
20.12.22;24;905.478;30.64655957436;29.5458287186518
21.12.22;13;727.51;24.49202657757;29.7039527413489
22.12.22;3;220.8;7.35552631528;30.0182462186725
23.12.22;9;403.28;13.42225913571;30.0456127334832
24.12.22;2;549;18.0724;30.3778136827427
25.12.22;11;467.593;14.60949050899;32.0061127191441
26.12.22;5;198.78;6.732;29.5276292335116
28.12.22;6;1193.6;40;29.84
29.12.22;27;3328.636;114.179383967097;29.1526883781332
30.12.22;26;1776.11;61.73445550325;28.7701573703278
31.12.22;9;1085.932;37.48470588185;28.9700018835097
1.01.23;7;190.13;6.01152006257;31.6276079961575
2.01.23;11;1057.9;37.11404769866;28.5040319123747
3.01.23;1;29.43;1;29.43
4.01.23;4;664.9;22.47440272987;29.5847684137253
5.01.23;6;6263.503;206.3145;30.3590053050077
6.01.23;10;7260.093;241.92158913556;30.0101079277048
7.01.23;4;37;1.28206083696;28.8597849129638
8.01.23;29;514.29;17.370908350972;29.606396488254
9.01.23;47;361.001;11.948790804551;30.2123458268684
10.01.23;61;162.2;5.298332112616;30.6134074936113
11.01.23;67;86.016;2.646453073266;32.5023711430663
12.01.23;30;1417.5;43.925791748201;32.2703346618233
13.01.23;21;614.32;18.700283882636;32.850838193447
14.01.23;197;1317.55;32.475226082812;40.5709261773957
15.01.23;166;1030.49;29.586045973633;34.8302710310925
16.01.23;63;62.01;1.752535246766;35.3830258846027
17.01.23;29;235.3;6.981931668151;33.7012751175082
18.01.23;170;1436.571;40.153438773478;35.7770353892798
19.01.23;87;295.346;8.34384897105699;35.3968535413922
20.01.23;29;2290.14;60.514284;37.8446186358249
21.01.23;9;694.7;16.05714;43.2642425737087
22.01.23;30;3063.71;70.85333333334;43.2401674821186
23.01.23;4;568.488;13.14;43.2639269406393
24.01.23;42;578.513;12.933572860325;44.729558200785
25.01.23;77;1406.607;32.212375;43.6666653731679
26.01.23;25;293.233;6.449;45.4695301597147
27.01.23;18;631.091;13.38985;47.1320440482903
28.01.23;9;859.688;18.50772532138;46.4502247073493
29.01.23;12;515.936;11.13772249524;46.3232945712644
30.01.23;99;4491.397;98.92694563273;45.4011490122669
31.01.23;88;2441.304;55.2285;44.2036991770553
1.02.23;37;811.13;18.08017375235;44.8629538139572
2.02.23;5;2309;52.2;44.2337164750958
3.02.23;15;154.192;3.44226779247;44.7937259086282
4.02.23;20;752.452;16.8465263916;44.6651127068656
5.02.23;80;1727.819;38.81489400195;44.5143299866592
6.02.23;79;956.768;22.18618487178;43.1244941628956
7.02.23;79;1830.545;42.4440945544501;43.1283790882064
8.02.23;44;1149.16;27.28695381456;42.1138983783093
9.02.23;73;1772.043;43.04247095197;41.1696392146579
10.02.23;4;700.501;17.5256136868;39.9701267252973
11.02.23;3;125.76;3.011;41.7668548654932
12.02.23;8;981.12;23.295227272727;42.1167816271383
13.02.23;11;647.572;15.516;41.7357566383088
14.02.23;3;483.51;12;40.2925
15.02.23;17;240.46;5.84760493822;41.1211089908539
16.02.23;18;1655.85;38.19268488142;43.3551609461617
17.02.23;18;162.117;3.75326374706;43.1936071977327
18.02.23;11;1034.87;23.52853597964;43.9836121081017
19.02.23;12;875.27;19.51546433863;44.8500729889087
20.02.23;13;410.3;9.40821053132;43.6108438086189
21.02.23;6;897.89;20.41177859981;43.988817319837
22.02.23;51;3033.832;71.2853382678;42.5589900212398
23.02.23;4;127.09;3.023822954;42.0295771059882
24.02.23;42;3888.36;95.2921454174;40.8046222799177
25.02.23;36;1057.145;26.43636089012;39.9882950756314
26.02.23;129;1503.59;37.953287692825;39.6168577586561
27.02.23;42;2453.799;59.51279451125;41.2314531715721
28.02.23;116;5281.035;133.43743983628;39.5768609355779
1.03.23;58;469.29;11.7326497687;39.9986370727572
2.03.23;19;1190.145;30.0778835165;39.5687748224411
3.03.23;123;6354.781;165.257057250345;38.4539160126351
4.03.23;24;1177.2;31.1470860828;37.794867772561
5.03.23;24;2192.969;57.6804639111;38.0192677260695
6.03.23;16;1732.08;45.7709460968;37.8423464600636
7.03.23;26;3117.062;84.264641034162;36.9913401605343
8.03.23;18;2647.583;71.547736078;37.0044273254664
9.03.23;25;4736.908;125.8210784342;37.6479685196566
10.03.23;47;2004.031;54.7007823011;36.6362402089394
11.03.23;26;184.872;5.0899008457;36.3213362311727
12.03.23;26;6057.173;164.6345;36.7916384475915
13.03.23;2;75.5;2;37.75
14.03.23;30;3612.5;89.5982188176;40.3188818669952
15.03.23;78;915.97;22.5862167514;40.5543792518162
16.03.23;89;1230.6;31.9788648997;38.4816660584955
17.03.23;10;199.07;5.1289924898;38.8126908736734
18.03.23;24;1522.27;40.2767725311;37.7952329428722
19.03.23;43;1225.02;32.1837325348;38.0633290024827
20.03.23;12;1269.49;33.5107;37.8831238977401
21.03.23;18;3239.52;85.743266667;37.7816256124377
22.03.23;13;2289.205;60.6087;37.7702376061523
23.03.23;8;979.07;25.94442;37.7372090029378
24.03.23;3;75.1;2.0267;37.0553115902699
25.03.23;11;712.95;19.09;37.3467784180199
26.03.23;2;42.15;1.125;37.4666666666667
27.03.23;11;590.5;15.814831914;37.338367123413
28.03.23;12;2817.515;75.196;37.4689478163732
29.03.23;13;2668.07;69.1638;38.5761048409717
30.03.23;2;1545.535;40.30403;38.3469097259009
31.03.23;7;213.47;5.556530898;38.4178552983185
1.04.23;5;653.04;16.7268;39.0415381304254
2.04.23;7;749.891;19.5452;38.3670159425332
3.04.23;13;737.165;19.3018;38.1915158171777
4.04.23;20;149.97;3.94568421;38.0086170149942
5.04.23;4;179.5;4.6813;38.3440497297759
6.04.23;13;326.056;8.52;38.2694835680751
7.04.23;20;1118.95;29.3012;38.1878557874763
8.04.23;5;435.2;11.426340944;38.0874334253543
9.04.23;7;201.85;5.2926;38.1381551600348
10.04.23;26;860.311;22.699975328;37.8992041871879
11.04.23;13;492.174;13.0111;37.827239818309
